tipo_cruzamento,cidade,radar_leman_id,radar_leman_area_m2,radar_leman_link,concorrencia_agencia,concorrencia_url,concorrencia_area_m2,diferenca_area_pct,divisoes_compativeis,radar_leman_endereco,radar_leman_surface_m2,radar_leman_surface_terrain_m2,radar_leman_nb_pieces,concorrencia_superficie_m2,concorrencia_superficie_terreno_m2,concorrencia_num_divisoes,diferenca_habitavel_pct,diferenca_terreno_pct,bate_por,diferenca_relevante_pct
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.362956,6.464657",Christelle Vannier Immobilier,https://cvannier-immobilier.com/fr/propriete/vente+appartement+thonon-les-bains+appartement-de-type-3-a-thonon-les-bains+85757383,,,True,"2 Chemin de Morcy, 74200 Thonon-les-Bains",66.0,866.0,3.0,66.0,,3.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.376522,6.488924",Christelle Vannier Immobilier,https://cvannier-immobilier.com/fr/propriete/vente+appartement+thonon-les-bains+appartement-t3-thonon-centre-ville+85078596,,,True,"44 Avenue Jules Ferry, 74200 Thonon-les-Bains",62.0,720.0,3.0,62.0,,3.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.364345,6.477834",Christelle Vannier Immobilier,https://cvannier-immobilier.com/fr/propriete/vente+appartement+thonon-les-bains+exclusivite-appartement-de-type-2-avec-cave+86737083,,,True,"2 Rue des Charmilles, 74200 Thonon-les-Bains",40.0,460.0,2.0,40.0,,2.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.364732,6.465726",Christelle Vannier Immobilier,https://cvannier-immobilier.com/fr/propriete/vente+appartement+thonon-les-bains+exclusivite-appartement-type-3-avec-garage+84395461,,,True,"2 Chemin des Voirons, 74200 Thonon-les-Bains",65.0,505.0,3.0,65.0,,3.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.373469,6.478759",Christelle Vannier Immobilier,https://cvannier-immobilier.com/fr/propriete/vente+appartement+thonon-les-bains+exclusivite-nouveaute+87032206,,,True,"5 Rue Michaud, 74200 Thonon-les-Bains",21.0,232.0,1.0,21.0,,1.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.364732,6.465726",Christelle Vannier Immobilier,https://cvannier-immobilier.com/fr/propriete/vente+appartement+thonon-les-bains+exclusivite-t3-en-duplex+87254132,,,True,"2 Chemin des Voirons, 74200 Thonon-les-Bains",65.0,505.0,3.0,65.0,,3.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.371493,6.492942",Christelle Vannier Immobilier,https://cvannier-immobilier.com/fr/propriete/vente+maison+thonon-les-bains+villa-jumelee-t5-secteur-corzent+87337095,,,True,"15 Route de Tully, 74200 Thonon-les-Bains",118.0,403.0,4.0,118.0,,4.0,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.400477,6.58958",Cabinet Greneche,https://grenecheimmo.fr/fr/propriete/vente+appartement+evian-les-bains+appartement-t3-evian-les-bains-proche-embarcadere+87280471,,,,"55 Rue Nationale, 74500 Évian-les-Bains",67.0,72.0,3.0,67.0,,,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.400095,6.596005",Cabinet Greneche,https://grenecheimmo.fr/fr/propriete/vente+appartement+evian-les-bains+evian-les-bains-t2-en-souplex+87293704,,,,"16 Rue Bernard Moutardier, 74500 Évian-les-Bains",74.0,365.0,2.0,74.0,,,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.400392,6.590886",Cabinet Greneche,https://grenecheimmo.fr/fr/propriete/vente+appartement+evian-les-bains+t3-evian-centre-ville+86400014,,,,"31 Rue Nationale, 74500 Évian-les-Bains",95.0,331.0,6.0,95.0,,,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.362269,6.459765",Cabinet Greneche,https://grenecheimmo.fr/fr/propriete/vente+appartement+thonon-les-bains+appartement-4-pieces-local-entrepot-artisanal-thonon-les-bains+86641773,,,True,"9 Avenue de Geneve, 74200 Thonon-les-Bains",112.0,1433.0,4.0,112.0,,4.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.362269,6.459765",Cabinet Greneche,https://grenecheimmo.fr/fr/propriete/vente+appartement+thonon-les-bains+duplex-4-pieces-thonon-les-bains+85982874,,,True,"9 Avenue de Geneve, 74200 Thonon-les-Bains",112.0,1433.0,4.0,112.0,,4.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.364518,6.474555",Nestenn Évian,https://immobilier-evian-les-bains.nestenn.com/a-vendre-a-thonon-les-bains-t2-renove-avec-deux-balcons-ref-39439459,,,True,"33 Rue des Alpes, 74200 Thonon-les-Bains",50.0,1530.0,2.0,50.0,,2.0,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.398406,6.573859",Nestenn Évian,https://immobilier-evian-les-bains.nestenn.com/centre-d-evian-grand-t3-dans-residence-recente-avec-ascenseur-parking-disponible-ref-39259091,,,True,"12 Avenue Anna De Noailles - Rd 1005, 74500 Évian-les-Bains",71.0,91.0,3.0,71.0,,3.0,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.394472,6.578997",Nestenn Évian,https://immobilier-evian-les-bains.nestenn.com/programme-neuf-evian-les-bains-du-t2-au-t4-ref-39323649,,,True,"16 Route Du Golf, 74500 Évian-les-Bains",48.0,732.0,2.0,48.0,,2.0,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.394472,6.578997",Nestenn Évian,https://immobilier-evian-les-bains.nestenn.com/programme-neuf-evian-les-bains-du-t2-au-t4-ref-39323663,,,True,"16 Route Du Golf, 74500 Évian-les-Bains",48.0,732.0,2.0,48.0,,2.0,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.394472,6.578997",Nestenn Évian,https://immobilier-evian-les-bains.nestenn.com/programme-neuf-evian-les-bains-du-t2-au-t4-ref-39323957,,,True,"16 Route Du Golf, 74500 Évian-les-Bains",48.0,732.0,2.0,48.0,,2.0,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.400365,6.591872",Nestenn Évian,https://immobilier-evian-les-bains.nestenn.com/programme-neuf-evian-les-bains-du-t2-au-t4-ref-39323960,,,True,"30 Rue Nationale, 74500 Évian-les-Bains",50.0,224.0,2.0,50.0,,2.0,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.398698,6.581014",Nestenn Évian,https://immobilier-evian-les-bains.nestenn.com/programme-neuf-evian-les-bains-du-t2-au-t4-ref-39323966,,,True,"27 Avenue De La Gare, 74500 Évian-les-Bains",58.0,948.0,3.0,58.0,,3.0,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.393252,6.580568",Nestenn Évian,https://immobilier-evian-les-bains.nestenn.com/superbe-t2-lumineux-avec-vue-lac-proche-centre-et-embarcadere-ref-39502529,,,True,"2 Chemin De Thony, 74500 Évian-les-Bains",51.0,2955.0,2.0,51.0,,2.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.371555,6.481151",Agence Lehmann,https://lehmann-immo.com/fr/propriete/vente+appartement+thonon-les-bains+bel-appartement-4-pieces-avec-jardin-a-thonon-les-bains+87306178,,,True,"6 Rue des Granges, 74200 Thonon-les-Bains",82.0,1373.0,4.0,82.0,,4.0,0.0,,habitavel,0.0
